TaxonOriginal,TaxonFloraVeg,Status,RegionFloraVeg,TaxonKaplan
Carex magellanica,Carex magellanica subsp. irrigua,EN,Czechia,Carex magellanica
Carex magellanica subsp. irrigua,,EN,Czechia,Carex magellanica
Carex melanostachya,Carex melanostachya,EN,Czechia,Carex melanostachya
Carex michelii,Carex michelii,NT,Czechia,Carex michelii
Carex montana,Carex montana,LC(NA),Czechia,Carex montana
Carex muricata,Carex muricata subsp. muricata,LC(NA),Czechia,Carex muricata
Carex muskingumensis,,LC(NA),Czechia,Carex muskingumensis
Carex nigra,,LC(NA),Czechia,Carex nigra
Carex nigra,Carex nigra,LC(NA),Czechia,Carex nigra
Carex obtusata,Carex obtusata,CR,Czechia,Carex obtusata
Carex oederi,Carex viridula,VU,Czechia,Carex oederi
Carex ornithopoda,Carex ornithopoda,VU,Czechia,Carex ornithopoda
Carex otomana,Carex divulsa subsp. leersii,NT,Czechia,Carex otomana
Carex otrubae,Carex cuprina,LC,Czechia,Carex otrubae
Carex pairae,Carex muricata subsp. muricata,LC(NA),Czechia,Carex pairae
Carex pallescens,Carex pallescens,LC(NA),Czechia,Carex pallescens
Carex panicea,Carex panicea,LC(NA),Czechia,Carex panicea
Carex paniculata,Carex paniculata,LC,Czechia,Carex paniculata
Carex paniculata subsp. paniculata,,LC,Czechia,Carex paniculata subsp. paniculata
Carex pauciflora,,NT,Czechia,Carex pauciflora
Carex pauciflora,Carex pauciflora,NT,Czechia,Carex pauciflora
Carex pendula,Carex pendula,LC,Czechia,Carex pendula
Carex pilosa,Carex pilosa,LC(NA),Czechia,Carex pilosa
Carex pilulifera,Carex pilulifera,LC(NA),Czechia,Carex pilulifera
Carex praecox,Carex praecox,LC(NA),Czechia,Carex praecox
Carex pseudobrizoides,,CR,Czechia,Carex pseudobrizoides
Carex pseudobrizoides,Carex brizoides,CR,Czechia,Carex pseudobrizoides
Carex pseudocyperus,Carex pseudocyperus,NT,Czechia,Carex pseudocyperus
Carex pulicaris,Carex pulicaris,EN,Czechia,Carex pulicaris
Carex remota,Carex remota,LC(NA),Czechia,Carex remota
Carex rhizina,Carex pediformis subsp. rhizodes,NT,Czechia,Carex rhizina
Carex riparia,Carex riparia,NT,Czechia,Carex riparia
Carex rostrata,Carex rostrata,LC(NA),Czechia,Carex rostrata
Carex rupestris,Carex rupestris,CR,Czechia,Carex rupestris
Carex secalina,Carex secalina,EN,Czechia,Carex secalina
Carex spicata,Carex x ruedtii,LC(NA),Czechia,Carex spicata
Carex spicata,Carex spicata,LC(NA),Czechia,Carex spicata
Carex stenophylla,Carex stenophylla,VU,Czechia,Carex stenophylla
Carex strigosa,Carex strigosa,VU,Czechia,Carex strigosa
Carex supina,Carex supina,NT,Czechia,Carex supina
Carex sylvatica,Carex sylvatica,LC(NA),Czechia,Carex sylvatica
Carex tomentosa,Carex filiformis,LC(NA),Czechia,Carex tomentosa
Carex umbrosa,Carex umbrosa,NT,Czechia,Carex umbrosa
Carex vaginata,Carex vaginata,EN,Czechia,Carex vaginata
Carex vesicaria,Carex vesicaria,LC(NA),Czechia,Carex vesicaria
Carex vulpina,Carex vulpina,LC(NA),Czechia,Carex vulpina
Carlina acaulis subsp. caulescens,Carlina acaulis subsp. caulescens,EN,Czechia,Carlina acaulis subsp. caulescens
Carlina biebersteinii subsp. biebersteinii,Carlina biebersteinii subsp. biebersteinii,DD,Czechia,Carlina biebersteinii subsp. biebersteinii
Carlina biebersteinii subsp. biebersteinii,,DD,Czechia,Carlina biebersteinii subsp. biebersteinii
Carlina biebersteinii subsp. brevibracteata,Carlina biebersteinii subsp. brevibracteata,DD,Czechia,Carlina biebersteinii subsp. brevibracteata
Carlina biebersteinii subsp. brevibracteata,,DD,Czechia,Carlina biebersteinii subsp. brevibracteata
Carlina biebersteinii subsp. sudetica,,CR,Czechia,Carlina biebersteinii subsp. sudetica
Carlina vulgaris,Carlina vulgaris,LC(NA),Czechia,Carlina vulgaris
Carpinus betulus,Carpinus betulus,LC(NA),Czechia,Carpinus betulus
Carpinus orientalis,Carpinus orientalis,LC(NA),Czechia,Carpinus orientalis
Carthamus lanatus,Carthamus lanatus,LC(NA),Czechia,Carthamus lanatus
Carthamus tinctorius,Carthamus tinctorius,LC(NA),Czechia,Carthamus tinctorius
Carum carvi,Carum carvi,LC(NA),Czechia,Carum carvi
Carya ovata,,LC(NA),Czechia,Carya ovata
Castanea sativa,Castanea sativa,LC(NA),Czechia,Castanea sativa
Catabrosa aquatica,Catabrosa aquatica,CR,Czechia,Catabrosa aquatica
Catalpa bignonioides,Catalpa bignonioides,LC(NA),Czechia,Catalpa bignonioides
Catananche caerulea,Catananche caerulea,LC(NA),Czechia,Catananche caerulea
Catapodium rigidum,Catapodium rigidum,LC(NA),Czechia,Catapodium rigidum
Catapodium rigidum,Catapodium rigidum subsp. rigidum,LC(NA),Czechia,Catapodium rigidum
Caucalis platycarpos,Caucalis platycarpos,VU,Czechia,Caucalis platycarpos
Caucalis platycarpos subsp. muricata,Caucalis platycarpos,DD,Czechia,Caucalis platycarpos subsp. muricata
Caucalis platycarpos subsp. platycarpos,,VU,Czechia,Caucalis platycarpos subsp. platycarpos
Celastrus orbiculatus,,LC(NA),Czechia,Celastrus orbiculatus
Celastrus scandens,,LC(NA),Czechia,Celastrus scandens
Celosia argentea,,LC(NA),Czechia,Celosia argentea
Celtis occidentalis,Celtis occidentalis,LC(NA),Czechia,Celtis occidentalis
Cenchrus echinatus,,LC(NA),Czechia,Cenchrus echinatus
Centaurea benedicta,Centaurea benedicta,LC(NA),Czechia,Centaurea benedicta
Centaurea bruguiereana,,LC(NA),Czechia,Centaurea bruguiereana
Centaurea calcitrapa,Centaurea calcitrapa,LC(NA),Czechia,Centaurea calcitrapa
Centaurea carniolica,,LC(NA),Czechia,Centaurea carniolica
Centaurea cyanus,Cyanus segetum,LC(NA),Czechia,Centaurea cyanus
Centaurea diffusa,Centaurea diffusa,LC(NA),Czechia,Centaurea diffusa
Centaurea erdneri,,NT,Czechia,Centaurea erdneri
Centaurea jacea subsp. angustifolia,Centaurea jacea subsp. angustifolia,DD,Czechia,Centaurea jacea subsp. angustifolia
Centaurea macrocephala,,LC(NA),Czechia,Centaurea macrocephala
Centaurea melitensis,Centaurea melitensis,LC(NA),Czechia,Centaurea melitensis
Centaurea mollis,Cyanus mollis,CR,Czechia,Centaurea mollis
Centaurea montana,,EN,Czechia,Centaurea montana
Centaurea montana agg.,Cyanus montanus,EN,Czechia,Centaurea montana agg.
Centaurea nigra,Centaurea nigra subsp. nigra,LC(NA),Czechia,Centaurea nigra
Centaurea nigra,Centaurea nigra,LC(NA),Czechia,Centaurea nigra
Centaurea nigrescens,Centaurea nigrescens subsp. nigrescens,LC(NA),Czechia,Centaurea nigrescens
Centaurea nigrescens,Centaurea nigrescens,LC(NA),Czechia,Centaurea nigrescens
Centaurea oxylepis,Centaurea oxylepis,LC,Czechia,Centaurea oxylepis
Centaurea phrygia,Centaurea phrygia,EN,Czechia,Centaurea phrygia
Centaurea phrygia,Centaurea phrygia subsp. phrygia,EN,Czechia,Centaurea phrygia
Centaurea pseudophrygia,Centaurea phrygia subsp. pseudophrygia,LC,Czechia,Centaurea pseudophrygia
Centaurea pseudophrygia,,LC,Czechia,Centaurea pseudophrygia
Centaurea scabiosa,Centaurea scabiosa,LC(NA),Czechia,Centaurea scabiosa
Centaurea solstitialis,Centaurea solstitialis,LC(NA),Czechia,Centaurea solstitialis
Centaurea stenolepis,Centaurea phrygia subsp. stenolepis,EN,Czechia,Centaurea stenolepis
Centaurea stenolepis subsp. stenolepis,,EN,Czechia,Centaurea stenolepis subsp. stenolepis
Centaurea stoebe,Centaurea stoebe subsp. australis,LC(NA),Czechia,Centaurea stoebe
Centaurea stoebe,Centaurea stoebe subsp. stoebe,LC(NA),Czechia,Centaurea stoebe
Centaurea stoebe,,LC(NA),Czechia,Centaurea stoebe
Centaurea transalpina,,LC(NA),Czechia,Centaurea transalpina
Centaurea triumfetti,Cyanus triumfettii,NT,Czechia,Centaurea triumfetti
Centaurea triumfetti,Cyanus triumfettii subsp. axillaris,NT,Czechia,Centaurea triumfetti
Centaurea weldeniana,,LC(NA),Czechia,Centaurea weldeniana
Centaurium erythraea,Centaurium erythraea,LC,Czechia,Centaurium erythraea
Centaurium erythraea subsp. erythraea,Centaurium erythraea subsp. erythraea,LC,Czechia,Centaurium erythraea subsp. erythraea
Centaurium littorale,Centaurium littorale,CR,Czechia,Centaurium littorale
Centaurium littorale subsp. compressum,Centaurium littorale subsp. compressum,CR,Czechia,Centaurium littorale subsp. compressum
Centaurium pulchellum,Centaurium pulchellum,VU,Czechia,Centaurium pulchellum
Centranthus ruber,Centranthus ruber,LC(NA),Czechia,Centranthus ruber
Centunculus minimus,Anagallis minima,CR,Czechia,Centunculus minimus
Cephalanthera damasonium,Cephalanthera damasonium,NT,Czechia,Cephalanthera damasonium
Cephalanthera longifolia,Cephalanthera longifolia,NT,Czechia,Cephalanthera longifolia
Cephalanthera rubra,Cephalanthera rubra,EN,Czechia,Cephalanthera rubra
Cephalaria gigantea,Cephalaria gigantea,LC(NA),Czechia,Cephalaria gigantea
Cephalaria syriaca,Cephalaria syriaca,LC(NA),Czechia,Cephalaria syriaca
Cephalaria transsylvanica,Cephalaria transsylvanica,LC(NA),Czechia,Cephalaria transsylvanica
Cerastium alsinifolium,Cerastium alsinifolium,EN,Czechia,Cerastium alsinifolium
Cerastium arvense,Cerastium arvense,LC(NA),Czechia,Cerastium arvense
Cerastium brachypetalum,Cerastium brachypetalum subsp. brachypetalum,NT,Czechia,Cerastium brachypetalum
Cerastium brachypetalum,Cerastium brachypetalum,NT,Czechia,Cerastium brachypetalum
Cerastium brachypetalum,Cerastium brachypetalum subsp. tauricum,NT,Czechia,Cerastium brachypetalum
Cerastium brachypetalum subsp. brachypetalum,,NT,Czechia,Cerastium brachypetalum subsp. brachypetalum
Cerastium dubium,Cerastium dubium,VU,Czechia,Cerastium dubium
Cerastium fontanum,Cerastium fontanum,VU,Czechia,Cerastium fontanum
Cerastium glomeratum,Cerastium glomeratum,LC(NA),Czechia,Cerastium glomeratum
Cerastium glutinosum,Cerastium pumilum subsp. glutinosum,LC(NA),Czechia,Cerastium glutinosum
Cerastium holosteoides,Cerastium fontanum subsp. vulgare,LC(NA),Czechia,Cerastium holosteoides
Cerastium lucorum,Cerastium fontanum subsp. lucorum,LC,Czechia,Cerastium lucorum
Cerastium pumilum,Cerastium pumilum,NT,Czechia,Cerastium pumilum
Cerastium semidecandrum,Cerastium semidecandrum,LC(NA),Czechia,Cerastium semidecandrum
Cerastium subtetrandrum,,LC(NA),Czechia,Cerastium subtetrandrum
Cerastium tenoreanum,Cerastium brachypetalum subsp. tenoreanum,EN,Czechia,Cerastium tenoreanum
Cerastium tomentosum,Cerastium tomentosum,LC(NA),Czechia,Cerastium tomentosum
Ceratocephala orthoceras,Ceratocephala orthoceras,RE,Czechia,Ceratocephala orthoceras
Ceratophyllum demersum,Ceratophyllum demersum,LC(NA),Czechia,Ceratophyllum demersum
Ceratophyllum submersum,Ceratophyllum submersum,LC,Czechia,Ceratophyllum submersum
Cercis siliquastrum,Cercis siliquastrum,LC(NA),Czechia,Cercis siliquastrum
Cerinthe minor,Cerinthe minor,LC,Czechia,Cerinthe minor
Cerinthe minor,Cerinthe minor subsp. minor,LC,Czechia,Cerinthe minor
Chaenomeles japonica,,LC(NA),Czechia,Chaenomeles japonica
Chaenomeles speciosa,,LC(NA),Czechia,Chaenomeles speciosa
Chaenorhinum origanifolium,Chaenorhinum origanifolium,LC(NA),Czechia,Chaenorhinum origanifolium
Chaerophyllum aromaticum,Chaerophyllum aromaticum,LC(NA),Czechia,Chaerophyllum aromaticum
Chaerophyllum aureum,Chaerophyllum aureum,LC(NA),Czechia,Chaerophyllum aureum
Chaerophyllum bulbosum,Chaerophyllum bulbosum,LC(NA),Czechia,Chaerophyllum bulbosum
Chaerophyllum hirsutum,,LC(NA),Czechia,Chaerophyllum hirsutum
Chaerophyllum hirsutum,Chaerophyllum hirsutum,LC(NA),Czechia,Chaerophyllum hirsutum
Chaerophyllum nodosum,Chaerophyllum nodosum,LC(NA),Czechia,Chaerophyllum nodosum
Chaerophyllum temulum,Chaerophyllum temulum,LC(NA),Czechia,Chaerophyllum temulum
Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,LC(NA),Czechia,Chamaecyparis lawsoniana
Chamaecyparis pisifera,Chamaecyparis pisifera,LC(NA),Czechia,Chamaecyparis pisifera
Chamaecytisus albus,Cytisus albus,EN,Czechia,Chamaecytisus albus
Chamaecytisus austriacus,Cytisus austriacus,NT,Czechia,Chamaecytisus austriacus
Chamaecytisus elongatus,,LC(NA),Czechia,Chamaecytisus elongatus
Chamaecytisus purpureus,Cytisus purpureus,LC(NA),Czechia,Chamaecytisus purpureus
Chamaecytisus ratisbonensis,Cytisus ratisbonensis,NT,Czechia,Chamaecytisus ratisbonensis
Chamaecytisus supinus,Cytisus hirsutus,NT,Czechia,Chamaecytisus supinus
Chamaecytisus virescens,,NT,Czechia,Chamaecytisus virescens
Chamaemelum nobile,Chamaemelum nobile,LC(NA),Czechia,Chamaemelum nobile
Chelidonium majus,Chelidonium majus,LC(NA),Czechia,Chelidonium majus
Chenopodium acuminatum,Chenopodium acuminatum,LC(NA),Czechia,Chenopodium acuminatum
Chenopodium album,Chenopodium album subsp. borbasii,LC(NA),Czechia,Chenopodium album
Chenopodium album,Chenopodium album,LC(NA),Czechia,Chenopodium album
Chenopodium berlandieri,,LC(NA),Czechia,Chenopodium berlandieri
Chenopodium bonus-henricus,Blitum bonus-henricus,NT,Czechia,Chenopodium bonus-henricus
Chenopodium capitatum,Blitum capitatum,LC(NA),Czechia,Chenopodium capitatum
Chenopodium chenopodioides,Oxybasis chenopodioides,EN,Czechia,Chenopodium chenopodioides
Chenopodium ficifolium,Chenopodium ficifolium,LC(NA),Czechia,Chenopodium ficifolium
Chenopodium foliosum,Blitum virgatum,LC(NA),Czechia,Chenopodium foliosum
Chenopodium glaucum,Oxybasis glauca,LC(NA),Czechia,Chenopodium glaucum
Chenopodium hircinum,Chenopodium hircinum,LC(NA),Czechia,Chenopodium hircinum
Chenopodium hybridum,Chenopodiastrum hybridum,LC(NA),Czechia,Chenopodium hybridum
Chenopodium karoi,Chenopodium karoi,LC(NA),Czechia,Chenopodium karoi
Chenopodium missouriense,,LC(NA),Czechia,Chenopodium missouriense
Chenopodium murale,Chenopodiastrum murale,CR,Czechia,Chenopodium murale
Chenopodium nitrariaceum,,LC(NA),Czechia,Chenopodium nitrariaceum
Chenopodium opulifolium,Chenopodium opulifolium,VU,Czechia,Chenopodium opulifolium
Chenopodium polyspermum,Lipandra polysperma,LC(NA),Czechia,Chenopodium polyspermum
Chenopodium probstii,Chenopodium probstii,LC(NA),Czechia,Chenopodium probstii
Chenopodium quinoa,Chenopodium quinoa,LC(NA),Czechia,Chenopodium quinoa
Chenopodium rubrum,Oxybasis rubra,LC(NA),Czechia,Chenopodium rubrum
Chenopodium striatiforme,Chenopodium striatiforme,LC(NA),Czechia,Chenopodium striatiforme
Chenopodium strictum,,LC(NA),Czechia,Chenopodium strictum
Chenopodium strictum,Chenopodium strictum,LC(NA),Czechia,Chenopodium strictum
Chenopodium suecicum,Chenopodium suecicum,LC(NA),Czechia,Chenopodium suecicum
Chenopodium urbicum,Oxybasis urbica,CR,Czechia,Chenopodium urbicum
Chenopodium vulvaria,Chenopodium vulvaria,EN,Czechia,Chenopodium vulvaria
Chimaphila umbellata,Chimaphila umbellata,CR,Czechia,Chimaphila umbellata
Chloris divaricata,,LC(NA),Czechia,Chloris divaricata
Chloris pectinata,,LC(NA),Czechia,Chloris pectinata
Chloris truncata,,LC(NA),Czechia,Chloris truncata
Chloris virgata,Chloris virgata,LC(NA),Czechia,Chloris virgata
Chondrilla juncea,Chondrilla juncea,VU,Czechia,Chondrilla juncea
Chorispora tenella,Chorispora tenella,LC(NA),Czechia,Chorispora tenella
Chrysanthemum indicum,,LC(NA),Czechia,Chrysanthemum indicum
Chrysanthemum zawadskii,,LC(NA),Czechia,Chrysanthemum zawadskii
Chrysosplenium alternifolium,Chrysosplenium alternifolium,LC(NA),Czechia,Chrysosplenium alternifolium
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium,NT,Czechia,Chrysosplenium oppositifolium
Cicer arietinum,Cicer arietinum,LC(NA),Czechia,Cicer arietinum
Cicerbita alpina,Lactuca alpina,LC,Czechia,Cicerbita alpina
Cicerbita macrophylla,Lactuca macrophylla,LC(NA),Czechia,Cicerbita macrophylla
Cichorium endivia,Cichorium endivia,LC(NA),Czechia,Cichorium endivia
Cichorium intybus,Cichorium intybus subsp. intybus,LC(NA),Czechia,Cichorium intybus
Cichorium intybus,Cichorium intybus,LC(NA),Czechia,Cichorium intybus
Cichorium intybus,,LC(NA),Czechia,Cichorium intybus
Cicuta virosa,Cicuta virosa,VU,Czechia,Cicuta virosa
Circaea ×intermedia,,LC(NA),Czechia,Circaea ×intermedia
Circaea alpina,Circaea alpina,LC(NA),Czechia,Circaea alpina
Circaea lutetiana,Circaea lutetiana subsp. lutetiana,LC(NA),Czechia,Circaea lutetiana
Circaea lutetiana,Circaea lutetiana,LC(NA),Czechia,Circaea lutetiana
Cirsium acaulon,Cirsium acaulon,NT,Czechia,Cirsium acaulon
Cirsium acaulon subsp. acaulon,,NT,Czechia,Cirsium acaulon subsp. acaulon
Cirsium arvense,Cirsium arvense,LC(NA),Czechia,Cirsium arvense
Cirsium brachycephalum,Cirsium brachycephalum,CR,Czechia,Cirsium brachycephalum
Cirsium canum,Cirsium canum,LC(NA),Czechia,Cirsium canum
Cirsium echinus,Cirsium echinus,LC(NA),Czechia,Cirsium echinus
Cirsium eriophorum,Cirsium x rigens,LC,Czechia,Cirsium eriophorum
Cirsium eriophorum,Cirsium eriophorum,LC,Czechia,Cirsium eriophorum
Cirsium heterophyllum,Cirsium heterophyllum,LC(NA),Czechia,Cirsium heterophyllum
Cirsium oleraceum,Cirsium oleraceum,LC(NA),Czechia,Cirsium oleraceum
Cirsium palustre,,LC(NA),Czechia,Cirsium palustre
Cirsium palustre,Cirsium palustre,LC(NA),Czechia,Cirsium palustre
Cirsium pannonicum,Cirsium pannonicum,NT,Czechia,Cirsium pannonicum
Cirsium rivulare,Cirsium rivulare,LC(NA),Czechia,Cirsium rivulare
Cirsium tuberosum,Cirsium tuberosum,LC(NA),Czechia,Cirsium tuberosum
Cirsium vulgare,Cirsium vulgare,LC(NA),Czechia,Cirsium vulgare
Citrullus lanatus,Citrullus lanatus,LC(NA),Czechia,Citrullus lanatus
Cladium mariscus,Cladium mariscus,EN,Czechia,Cladium mariscus
Clarkia pulchella,,LC(NA),Czechia,Clarkia pulchella
Clarkia unguiculata,,LC(NA),Czechia,Clarkia unguiculata
Claytonia perfoliata,Claytonia perfoliata,LC(NA),Czechia,Claytonia perfoliata
Claytonia sibirica,Claytonia sibirica,LC(NA),Czechia,Claytonia sibirica
Cleistogenes serotina,Cleistogenes serotina,EN,Czechia,Cleistogenes serotina
Clematis flammula,Clematis flammula,LC(NA),Czechia,Clematis flammula
Clematis integrifolia,Clematis integrifolia,CR,Czechia,Clematis integrifolia
Clematis recta,Clematis recta,NT,Czechia,Clematis recta
Clematis tangutica,,LC(NA),Czechia,Clematis tangutica
Clematis vitalba,Clematis vitalba,LC(NA),Czechia,Clematis vitalba
Clematis viticella,Clematis viticella,LC(NA),Czechia,Clematis viticella
Cleome hassleriana,,LC(NA),Czechia,Cleome hassleriana
Clinopodium grandiflorum,Clinopodium grandiflorum,LC(NA),Czechia,Clinopodium grandiflorum
Clinopodium menthifolium,Clinopodium menthifolium,LC(NA),Czechia,Clinopodium menthifolium
Clinopodium nepeta,Clinopodium nepeta,LC(NA),Czechia,Clinopodium nepeta
Clinopodium vulgare,Clinopodium vulgare,LC(NA),Czechia,Clinopodium vulgare
Clinopodium vulgare,Clinopodium vulgare subsp. vulgare,LC(NA),Czechia,Clinopodium vulgare
Cnidium dubium,Selinum dubium,VU,Czechia,Cnidium dubium
Cnidium dubium,,VU,Czechia,Cnidium dubium
Cnidium silaifolium,Selinum silaifolium,LC(NA),Czechia,Cnidium silaifolium
Cnidium silaifolium,,LC(NA),Czechia,Cnidium silaifolium
Cochlearia danica,Cochlearia danica,LC(NA),Czechia,Cochlearia danica
Cochlearia officinalis,Cochlearia officinalis,LC(NA),Czechia,Cochlearia officinalis
Coeloglossum viride,Dactylorhiza viridis,EN,Czechia,Coeloglossum viride
Colchicum autumnale,Colchicum autumnale,LC(NA),Czechia,Colchicum autumnale
Coleanthus subtilis,Coleanthus subtilis,LC,Czechia,Coleanthus subtilis
Coleostephus myconis,Coleostephus myconis,LC(NA),Czechia,Coleostephus myconis
Collomia grandiflora,Collomia grandiflora,LC(NA),Czechia,Collomia grandiflora
Colutea arborescens,Colutea arborescens,LC(NA),Czechia,Colutea arborescens
Comarum palustre,Comarum palustre,NT,Czechia,Comarum palustre
Commelina communis,Commelina communis,LC(NA),Czechia,Commelina communis
Conioselinum tataricum,Conioselinum tataricum,EN,Czechia,Conioselinum tataricum
Conium maculatum,Conium maculatum,LC(NA),Czechia,Conium maculatum
Conringia austriaca,Conringia austriaca,RE,Czechia,Conringia austriaca
Conringia orientalis,Conringia orientalis,CR,Czechia,Conringia orientalis
Consolida ajacis,Consolida ajacis,LC(NA),Czechia,Consolida ajacis
Consolida hispanica,Consolida hispanica,LC(NA),Czechia,Consolida hispanica
Consolida hispanica,,LC(NA),Czechia,Consolida hispanica
Consolida regalis,Consolida regalis,LC(NA),Czechia,Consolida regalis
Convallaria majalis,,LC(NA),Czechia,Convallaria majalis var. majalis
Convolvulus arvensis,Convolvulus arvensis,LC(NA),Czechia,Convolvulus arvensis
Convolvulus tricolor,Convolvulus tricolor,LC(NA),Czechia,Convolvulus tricolor
Conyza bonariensis,Erigeron bonariensis,LC(NA),Czechia,Conyza bonariensis
Conyza canadensis,Erigeron canadensis,LC(NA),Czechia,Conyza canadensis
Conyza triloba,,LC(NA),Czechia,Conyza triloba
Corallorhiza trifida,Corallorhiza trifida,VU,Czechia,Corallorhiza trifida
Coreopsis basalis,,LC(NA),Czechia,Coreopsis basalis
Coreopsis grandiflora,,LC(NA),Czechia,Coreopsis grandiflora
Coreopsis lanceolata,,LC(NA),Czechia,Coreopsis lanceolata
Coreopsis tinctoria,,LC(NA),Czechia,Coreopsis tinctoria
Coreopsis verticillata,,LC(NA),Czechia,Coreopsis verticillata
Coriandrum sativum,Coriandrum sativum,LC(NA),Czechia,Coriandrum sativum
Corispermum gmelinii,,LC(NA),Czechia,Corispermum gmelinii
Corispermum pallasii,Corispermum intermedium,LC(NA),Czechia,Corispermum pallasii
Cornus alba,Cornus alba,LC(NA),Czechia,Cornus alba
Cornus florida,,LC(NA),Czechia,Cornus florida
Cornus mas,Cornus mas,LC,Czechia,Cornus mas
Cornus sanguinea subsp. australis,Cornus sanguinea subsp. australis,DD,Czechia,Cornus sanguinea subsp. australis
Cornus sanguinea subsp. hungarica,Cornus sanguinea subsp. hungarica,DD,Czechia,Cornus sanguinea subsp. hungarica
Cornus sericea,Cornus sericea,LC(NA),Czechia,Cornus sericea
Coronilla scorpioides,Coronilla scorpioides,LC(NA),Czechia,Coronilla scorpioides
Coronilla vaginalis,Coronilla vaginalis,VU,Czechia,Coronilla vaginalis
Corrigiola litoralis,Corrigiola litoralis,CR,Czechia,Corrigiola litoralis
Cortaderia selloana,Cortaderia selloana,LC(NA),Czechia,Cortaderia selloana
Cortusa matthioli,Cortusa matthioli,CR,Czechia,Cortusa matthioli
Cortusa matthioli subsp. moravica,,CR,Czechia,Cortusa matthioli subsp. moravica
Corydalis cava,Corydalis cava,LC(NA),Czechia,Corydalis cava
Corydalis cheilanthifolia,,LC(NA),Czechia,Corydalis cheilanthifolia
Corydalis intermedia,Corydalis intermedia,LC,Czechia,Corydalis intermedia
Corydalis pumila,Corydalis pumila,LC,Czechia,Corydalis pumila
Corydalis solida,Corydalis solida,LC,Czechia,Corydalis solida
Corydalis solida subsp. solida,,LC,Czechia,Corydalis solida subsp. solida
Corylus avellana,Corylus avellana,LC(NA),Czechia,Corylus avellana
Corylus colurna,Corylus colurna,LC(NA),Czechia,Corylus colurna
Corylus maxima,,LC(NA),Czechia,Corylus maxima
Corynephorus canescens,Corynephorus canescens,NT,Czechia,Corynephorus canescens
Cosmos bipinnatus,Cosmos bipinnatus,LC(NA),Czechia,Cosmos bipinnatus
Cotinus coggygria,Cotinus coggygria,LC(NA),Czechia,Cotinus coggygria
Cotoneaster acutifolius,Cotoneaster lucidus,LC(NA),Czechia,Cotoneaster acutifolius
Cotoneaster bullatus,,LC(NA),Czechia,Cotoneaster bullatus
Cotoneaster dielsianus,,LC(NA),Czechia,Cotoneaster dielsianus
Cotoneaster divaricatus,Cotoneaster divaricatus,LC(NA),Czechia,Cotoneaster divaricatus
Cotoneaster horizontalis,Cotoneaster horizontalis,LC(NA),Czechia,Cotoneaster horizontalis
Cotoneaster integerrimus,Cotoneaster integerrimus,NT,Czechia,Cotoneaster integerrimus
Cotoneaster laxiflorus,Cotoneaster melanocarpus,EN,Czechia,Cotoneaster laxiflorus
Cotoneaster zabelii,,LC(NA),Czechia,Cotoneaster zabelii
Cotula australis,Cotula australis,LC(NA),Czechia,Cotula australis
Cotula coronopifolia,,LC(NA),Czechia,Cotula coronopifolia
Crambe abyssinica,,LC(NA),Czechia,Crambe abyssinica
Crambe maritima,Crambe maritima,LC(NA),Czechia,Crambe maritima
Crambe tataria,Crambe tataria,EN,Czechia,Crambe tataria
Crataegus chrysocarpa,,LC(NA),Czechia,Crataegus chrysocarpa
Crataegus coccinea,Crataegus coccinea,LC(NA),Czechia,Crataegus coccinea
Crataegus crus-galli,,LC(NA),Czechia,Crataegus crus-galli
Crataegus flabellata,,LC(NA),Czechia,Crataegus flabellata
Crataegus intricata,,LC(NA),Czechia,Crataegus intricata
Crataegus laevigata,Crataegus laevigata,LC(NA),Czechia,Crataegus laevigata
Crataegus lindmanii,Crataegus rhipidophylla,DD,Czechia,Crataegus lindmanii
Crataegus monogyna,Crataegus monogyna,LC(NA),Czechia,Crataegus monogyna
Crataegus nigra,Crataegus nigra,LC(NA),Czechia,Crataegus nigra
Crataegus orientalis,,LC(NA),Czechia,Crataegus orientalis
Crataegus pentagyna,,LC(NA),Czechia,Crataegus pentagyna
Crataegus persimilis,,LC(NA),Czechia,Crataegus persimilis
Crataegus punctata,,LC(NA),Czechia,Crataegus punctata
Crataegus rhipidophylla,Crataegus rhipidophylla,DD,Czechia,Crataegus rhipidophylla
Crataegus rhipidophylla,,DD,Czechia,Crataegus rhipidophylla
Crataegus tournefortii,,LC(NA),Czechia,Crataegus tournefortii
Crepis biennis,Crepis biennis,LC(NA),Czechia,Crepis biennis
Crepis capillaris,Crepis capillaris,LC(NA),Czechia,Crepis capillaris
Crepis conyzifolia,Crepis conyzifolia,VU,Czechia,Crepis conyzifolia
Crepis foetida subsp. rhoeadifolia,Crepis foetida subsp. rhoeadifolia,NT,Czechia,Crepis foetida subsp. rhoeadifolia
Crepis mollis,Crepis mollis,NT,Czechia,Crepis mollis
Crepis mollis subsp. mollis,Crepis mollis subsp. mollis,CR,Czechia,Crepis mollis subsp. mollis
Crepis mollis subsp. succisifolia,Crepis mollis subsp. succisifolia,NT,Czechia,Crepis mollis subsp. succisifolia
Crepis mollis subsp. succisifolia,,NT,Czechia,Crepis mollis subsp. succisifolia
Crepis nicaeensis,Crepis nicaeensis,LC(NA),Czechia,Crepis nicaeensis
Crepis paludosa,Crepis paludosa,LC(NA),Czechia,Crepis paludosa
