releve_nr,valid_name,to_br_bl_old
11,Achillea millefolium agg.,0.5
11,Armeria elongata subsp. elongata,0.5
11,Arrhenatherum elatius,3
11,Calamagrostis epigejos,0.5
11,Carex hirta,0.5
11,Centaurea stoebe,0.1
11,Convolvulus arvensis,0.5
11,Corynephorus canescens,0.5
11,Dianthus carthusianorum agg.,0.5
11,Echium vulgare,0.5
11,Euphorbia cyparissias,0.1
11,Festuca valesiaca s. l.,37.5
11,Festuca psammophila subsp. dominii,0.5
11,Helichrysum arenarium,0.5
11,Pilosella officinarum,0.5
11,Hypericum perforatum,3
11,Linaria genistifolia,0.1
11,Poa pratensis agg.,0.5
11,Potentilla argentea,0.5
11,Rumex acetosella,0.5
11,Securigera varia,3
11,Silene otites,3
11,Stipa borysthenica,3
11,Stipa capillata,0.5
11,Thymus serpyllum,0.5
11,Verbascum thapsus,0.5
12,Artemisia campestris,15
12,Centaurea stoebe,0.1
12,Chondrilla juncea,0.1
12,Corynephorus canescens,0.5
12,Dianthus carthusianorum agg.,0.5
12,Festuca psammophila subsp. dominii,0.5
12,Helichrysum arenarium,0.5
12,Plantago lanceolata,15
12,Poa compressa,0.5
12,Poa pratensis agg.,15
12,Potentilla argentea,0.5
12,Rumex acetosella,0.5
12,Seseli osseum,0.5
12,Silene vulgaris,0.5
12,Stipa borysthenica,0.5
12,Verbascum thapsus,0.1
14,Carex hirta,0.5
14,Echium vulgare,0.5
14,Elymus repens,0.5
14,Eryngium campestre,0.5
14,Euphorbia cyparissias,0.5
14,Festuca psammophila subsp. dominii,15
14,Hypericum perforatum,0.5
14,Plantago lanceolata,3
14,Poa pratensis agg.,3
14,Potentilla argentea,3
14,Rumex acetosella,0.5
14,Silene latifolia subsp. alba,0.5
14,Silene otites,0.5
14,Stipa borysthenica,37.5
15,Achillea millefolium agg.,0.5
15,Anthoxanthum odoratum,15
15,Calamagrostis epigejos,3
15,Carex supina,0.5
15,Centaurea stoebe,0.5
15,Corynephorus canescens,3
15,Cynodon dactylon,0.5
15,Dianthus carthusianorum agg.,0.5
15,Echium vulgare,0.5
15,Erigeron annuus agg.,0.5
15,Euphorbia cyparissias,0.5
15,Festuca valesiaca s. l.,15
15,Helichrysum arenarium,0.5
15,Pilosella officinarum,0.5
15,Hypericum perforatum,0.5
15,Plantago lanceolata,0.5
15,Poa pratensis agg.,3
15,Rumex acetosella,15
15,Verbascum phoeniceum,0.5
16,Achillea millefolium agg.,0.5
16,Agrostis vinealis,15
16,Anthoxanthum odoratum,0.5
16,Arrhenatherum elatius,0.5
16,Calamagrostis epigejos,37.5
16,Carex caryophyllea,0.5
16,Carex hirta,0.5
16,Crataegus species,0.5
16,Cynodon dactylon,0.5
16,Erigeron annuus agg.,0.5
16,Euphorbia cyparissias,0.5
16,Festuca valesiaca s. l.,0.5
16,Hypericum perforatum,0.5
16,Luzula campestris,0.5
16,Plantago lanceolata,0.5
16,Poa pratensis agg.,37.5
16,Rumex acetosella,3
16,Teucrium chamaedrys,0.5
16,Thymus pannonicus agg.,0.5
17,Achillea millefolium agg.,0.5
17,Anthoxanthum odoratum,3
17,Calamagrostis epigejos,3
17,Carex supina,3
17,Corynephorus canescens,0.5
17,Cynodon dactylon,3
17,Dianthus carthusianorum agg.,0.5
17,Echium vulgare,0.5
17,Erigeron annuus agg.,0.5
17,Eryngium campestre,0.5
17,Festuca valesiaca s. l.,37.5
17,Helichrysum arenarium,0.5
17,Hypericum perforatum,3
17,Hypochaeris radicata,0.1
17,Plantago lanceolata,0.5
17,Poa pratensis agg.,15
17,Potentilla argentea,0.5
17,Potentilla verna agg.,0.5
17,Ranunculus illyricus,0.1
17,Rumex acetosella,15
17,Sedum acre,0.5
17,Silene viscosa,0.5
17,Verbascum phoeniceum,0.5
17,Thymus pannonicus agg.,0.5
18,Achillea millefolium agg.,0.5
18,Arrhenatherum elatius,0.5
18,Calamagrostis epigejos,15
18,Carex caryophyllea,3
18,Carex hirta,0.5
18,Carex supina,3
18,Centaurea stoebe,0.5
18,Cerastium holosteoides,0.5
18,Cynodon dactylon,0.5
18,Dactylis glomerata,0.5
18,Dianthus carthusianorum agg.,0.5
18,Erigeron annuus agg.,0.5
18,Euphorbia cyparissias,0.5
18,Festuca valesiaca s. l.,15
18,Galium verum,0.5
18,Hypericum perforatum,3
18,Luzula campestris,0.5
18,Plantago lanceolata,0.5
18,Poa pratensis agg.,37.5
18,Potentilla argentea,0.5
18,Teucrium chamaedrys,0.5
18,Thymus pannonicus agg.,3
19,Achillea millefolium agg.,0.5
19,Agrostis vinealis,15
19,Anthoxanthum odoratum,15
19,Armeria elongata subsp. elongata,0.5
19,Calamagrostis epigejos,0.1
19,Centaurea stoebe,0.5
19,Corynephorus canescens,15
19,Cynodon dactylon,0.5
19,Dianthus carthusianorum agg.,15
19,Echium vulgare,0.5
19,Erigeron annuus agg.,0.5
19,Eryngium campestre,0.1
19,Euphorbia cyparissias,0.5
19,Festuca valesiaca s. l.,15
19,Galium verum,0.5
19,Helichrysum arenarium,0.5
19,Pilosella officinarum,0.5
19,Hypericum perforatum,3
19,Hypochaeris radicata,0.5
19,Koeleria macrantha,0.5
19,Plantago lanceolata,0.5
19,Poa pratensis agg.,0.5
19,Potentilla argentea,0.5
19,Rumex acetosella,0.5
19,Sedum acre,3
19,Senecio jacobaea,0.1
19,Silene otites,0.5
19,Verbascum phlomoides,0.1
20,Achillea millefolium agg.,0.5
20,Anthoxanthum odoratum,0.5
20,Carex hirta,0.1
20,Centaurea stoebe,0.5
20,Chondrilla juncea,0.1
20,Convolvulus arvensis,0.5
20,Corynephorus canescens,37.5
20,Cynodon dactylon,0.5
20,Erigeron acris agg.,0.5
20,Erigeron annuus agg.,0.5
20,Eryngium campestre,0.5
20,Euphorbia cyparissias,0.1
20,Festuca valesiaca s. l.,0.5
20,Helichrysum arenarium,3
20,Pilosella officinarum,0.5
20,Hypericum perforatum,0.5
20,Koeleria macrantha,0.5
20,Plantago lanceolata,0.5
20,Poa pratensis agg.,0.5
20,Potentilla argentea,0.5
20,Senecio jacobaea,0.5
20,Silene otites,0.5
21,Achillea millefolium agg.,0.5
21,Arrhenatherum elatius,15
21,Carex hirta,0.5
21,Convolvulus arvensis,0.5
21,Echium vulgare,0.5
21,Elymus repens,0.5
21,Erodium cicutarium,0.1
21,Eryngium campestre,0.5
21,Euphorbia cyparissias,0.5
21,Festuca pratensis,15
21,Festuca rubra,0.5
21,Potentilla argentea,0.5
21,Rumex acetosa,0.5
21,Rumex acetosella,0.5
21,Securigera varia,15
21,Silene nutans,3
21,Silene otites,0.5
21,Verbascum lychnitis,0.5
22,Achillea millefolium agg.,0.5
22,Ajuga genevensis,0.1
22,Anthoxanthum odoratum,0.5
22,Arrhenatherum elatius,15
22,Calamagrostis epigejos,37.5
22,Carex hirta,0.5
22,Dactylis glomerata,0.5
22,Erigeron annuus agg.,0.5
22,Euphorbia cyparissias,0.5
22,Festuca rubra,3
22,Filipendula vulgaris,3
22,Fragaria vesca,0.5
22,Hypericum perforatum,0.5
22,Lotus corniculatus,0.5
22,Myosotis species,0.1
22,Poa palustris,3
22,Poa pratensis agg.,3
22,Quercus robur,0.5
22,Ranunculus polyanthemos,0.5
22,Rubus caesius,15
22,Securigera varia,3
22,Taraxacum sect. Taraxacum,0.5
22,Trifolium pratense,0.5
22,Veronica chamaedrys,0.1
23,Achillea millefolium agg.,0.5
23,Dactylis glomerata,0.5
23,Erigeron annuus agg.,0.5
23,Lolium perenne,0.5
23,Potentilla argentea,3
23,Quercus robur,37.5
23,Taraxacum sect. Erythrosperma,0.5
23,Trifolium repens,0.5
24,Arrhenatherum elatius,0.5
24,Calamagrostis epigejos,37.5
24,Carex hirta,15
24,Eryngium campestre,0.1
24,Festuca rubra,15
24,Hypericum perforatum,3
24,Malus sylvestris agg.,0.1
24,Poa pratensis agg.,15
24,Rumex acetosella,0.5
25,Achillea millefolium agg.,0.5
25,Agrostis vinealis,15
25,Anthoxanthum odoratum,15
25,Arabis glabra,0.5
25,Armeria elongata subsp. elongata,0.5
25,Arrhenatherum elatius,15
25,Calamagrostis epigejos,3
25,Carex hirta,0.5
25,Cerastium holosteoides,0.5
25,Elymus hispidus,3
25,Euonymus europaeus,0.5
25,Euphorbia cyparissias,0.5
25,Festuca rubra,15
25,Hypericum perforatum,0.5
25,Luzula multiflora,0.5
25,Poa pratensis agg.,15
25,Potentilla argentea,0.5
25,Rumex acetosella,15
25,Silene latifolia subsp. alba,0.5
25,Teucrium chamaedrys,0.5
25,Verbascum phoeniceum,3
26,Agrostis capillaris,0.5
26,Arrhenatherum elatius,0.5
26,Calamagrostis epigejos,62.5
26,Carex hirta,37.5
26,Euonymus europaeus,0.5
26,Euphorbia cyparissias,0.5
26,Festuca rubra,0.5
26,Galium verum,0.5
26,Hypericum perforatum,0.5
26,Poa pratensis agg.,15
26,Rhamnus cathartica,15
26,Rosa canina agg.,0.5
26,Rumex acetosella,0.5
26,Teucrium chamaedrys,0.5
26,Veronica chamaedrys,0.5
26,Viola canina,0.5
27,Agrostis vinealis,0.5
27,Calamagrostis epigejos,0.5
27,Carex hirta,0.1
27,Cirsium arvense,0.1
27,Convolvulus arvensis,0.5
27,Corynephorus canescens,15
27,Cynodon dactylon,3
27,Eryngium campestre,0.5
27,Linaria genistifolia,0.5
27,Linaria vulgaris,0.1
