Taxon,habitat
Melica transsilvanica,dry grassland
Myosotis stricta,dry grassland
Nonea pulla,ruderal
Oreopteris limbosperma,ruderal
Oxalis acetosella,ruderal
Oxytropis pilosa,dry grassland
Panicum miliaceum,ruderal
Parietaria officinalis,ruderal
Pastinaca sativa,ruderal
Persicaria mitis,ruderal
Petasites albus,ruderal
Phegopteris connectilis,ruderal
Picris hieracioides,ruderal
Pilosella bauhini,dry grassland
Pilosella echioides,dry grassland
Plantago arenaria,sand
Plantago media,dry grassland
Poa bulbosa,dry grassland
Poa compressa,ruderal
Poa palustris,ruderal
Potentilla anserina,ruderal
Potentilla argentea,ruderal
Potentilla collina,sand
Potentilla verna,dry grassland
Pteridium aquilinum,ruderal
Puccinellia distans,ruderal
Pulsatilla pratensis subsp. bohemica,dry grassland
Reseda luteola,ruderal
Reynoutria japonica,ruderal
Reynoutria sachalinensis,ruderal
Rubus caesius,ruderal
Rubus fruticosus agg.,ruderal
Rumex patientia,ruderal
Rumex thyrsiflorus,ruderal
Salvia glutinosa,ruderal
Saponaria officinalis,ruderal
Scrophularia vernalis,ruderal
Sedum album,dry grassland
Sedum reflexum,dry grassland
Sedum sexangulare,sand
Sedum sexangulare,dry grassland
Senecio ovatus,ruderal
Senecio vulgaris,ruderal
Seseli osseum,dry grassland
Seseli pallasii,dry grassland
Silene latifolia subsp. alba,ruderal
Sisymbrium orientale subsp. orientale,ruderal
Solidago gigantea,ruderal
Stachys annua,ruderal
Stachys recta,dry grassland
Stachys sylvatica,ruderal
Stipa borysthenica,sand
Stipa dasyphylla,dry grassland
Stipa glabrata,dry grassland
Stipa tirsa,dry grassland
Symphyotrichum novi-belgii agg.,ruderal
Taraxacum sect. Erythrosperma,sand
Taraxacum serotinum,dry grassland
Teucrium chamaedrys,dry grassland
Teucrium chamaedrys,sand
Thalictrum minus,dry grassland
Thymus pulegioides,dry grassland
Trifolium arvense,ruderal
Tussilago farfara,ruderal
Vaccinium myrtillus,ruderal
Valerianella carinata,dry grassland
